Puunro	X	Y	Hmax	Hmean	h30	h50	h70	h90	p30	p50	p70	p90	puulaji
7495	49218.31	17733.89	12.437	9.432609	9.2235	9.966	10.693	11.6125	0	0.064516	0.185484	0.262097	vaahtera
7499	49246.73	17751.51	14.558	9.393757	7.9624	9.485	10.7534	12.5456	0.038951	0.265918	0.588015	0.885393	vaahtera
7500	49251.94	17757.04	13.266	9.592977	7.939	8.539	11.4437	12.7976	0.054688	0.210938	0.515625	0.703125	lehmus
7502	49268.45	17766.35	11.105	8.708197	8.4044	8.604	9.1682	9.4932	0	0	0	0	vaahtera
7504	49278.94	17780.16	20.754	10.023693	7.973	10.113	11.6892	12.9696	0.220438	0.627737	0.986861	0.986861	lehmus
7505	49287.67	17782.17	11.554	9.067322	8.35	9.294	10.0385	10.825	0.02454	0.052147	0.196319	0.607362	lehmus
7506	49297.21	17786.69	13.76	8.333446	7.2772	8.94	10.0334	12.127	0.196947	0.329771	0.648855	0.890076	vaahtera
7507	49317.93	17808.59	26.81	15.197591	8.9094	17.118	19.3834	24.1368	0.323591	0.421712	0.686848	0.874739	vaahtera
7508	49327.8	17807.86	13.736	7.896628	5.9196	8.23	10.2162	12.3684	0.282497	0.449335	0.628454	0.841351	vaahtera
7509	49335.89	17813.84	13.227	7.568119	6.552	7.211	9.457	11.562	0.193347	0.507277	0.702703	0.906445	vaahtera
7515	49376.92	17845.18	11.304	6.86251	5.9348	6.52	7.5458	9.3356	0.024348	0.238261	0.65913	0.853913	vaahtera
7520	49411.45	17872.06	22.241	9.1706	7.8872	9.639	10.3188	11.083	0.287861	0.942197	0.986127	0.988439	vaahtera
7521	49425.71	17878.09	11.91	8.887057	8.0725	9.2695	9.9545	10.878	0	0.060924	0.14916	0.369748	vaahtera
7522	49443.28	17867.4	23.336	11.627018	8.9962	10.558	11.8828	23.0208	0.145467	0.610682	0.867182	0.867885	vaahtera
7523	49436.67	17863.96	23.056	7.909099	6.7308	7.729	8.5182	9.846	0.540773	0.982833	0.982833	0.982833	vaahtera
